CCENNOM;CCENDIR;CCENLOC;CCENBARRIO;CCENHOR;CCENPROSER;CCENNUMLOC;CCENSITWEB;LATITUD;LONGITUD;geometry;;
San Andresito plaza 38;Carrera 38 # 10 a - 21;Puente Aranda;Los Ejidos;Lunes - Sábado 9:00 AM a 7:00 PM Domingos - Festivos 9:00 AM a 6:00 PM;ropa, calzado.;273;http://www.ipes.gov.co;4.616.851;-74.102.124;"{\type\"":\""Point\""";"\""coordinates\"":[-74.10215255313082";"4.616912866544329]}"""
Pasaje comercial Santa Lucia;Avenida Caracas # 44 C - 21 SUR;Rafaél Uribe Uribe;S.C. Santa Lucia;Lunes - Domingo 7:00 AM a 7:00 PM;hiervas, ferretería, lotería;16;http://www.ipes.gov.co;4.574.113;-74.123.863;"{\type\"":\""Point\""";"\""coordinates\"":[-74.1238915539361";"4.574174866529067]}"""
Madrugón de Frutas y Verduras – Lote Los Sierra;Calle 23 Sur # 5 - 36;San Cristobal;S.C. Granada Sur;Lunes - Domingo 7:00 AM a 7:00 PM;frutas y verduras;111;http://www.ipes.gov.co;457.084.351;-7.409.200.451;"{\type\"":\""Point\""";"\""coordinates\"":[-74.09203305930299";"4.570905374433183]}"""
Plazoleta de comidas del 20 de julio;Calle 26 Sur # 6 - 35;San Cristobal;S.C. 20 De Julio;Lunes - Domingo 8:00 AM a 5:00 PM;servicio de restaurante con variedad de platos típicos.;10;http://www.ipes.gov.co;456.983.839;-7.409.463.987;"{\type\"":\""Point\""";"\""coordinates\"":[-74.09466842529243";"4.569900253273966]}"""
Recinto Ferial 20 de Julio;Diagonal 30 A Sur # 5-91;San Cristobal;Suramerica;Lunes - Domingo 9:00 AM a 5:00 PM;ropa, calzado, accesorios para teléfono celular, artículos religiosos, artículos elaborados en cuero, entre otros.;62;http://www.ipes.gov.co;456.641.028;-7.409.622.389;"{\type\"":\""Point\""";"\""coordinates\"":[-74.09625244709079";"4.566472150596966]}"""
Centro Comercial y Cultural La Veracruz;Calle 17 # 4-65;Santa Fé;Veracruz;Lunes - Sábado 9:00 AM a 7:00 PM;artesanías, ropa, venta de bisutería, servicio de restaurante.;63;http://www.ipes.gov.co;460.200.461;-7.407.047.419;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07050274791797";"4.602066474970734]}"""
Galería artesanal Avenida 19;Calle 19 # 9-68;Santa Fé;Las Nieves;Lunes - Domingo 7:00 AM a 7:00 PM;variedades, servicio de arreglo de celulares.;21;http://www.ipes.gov.co;460.684.732;-7.407.356.203;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07359058812952";"4.606909183171897]}"""
Alternativa Comercial Manzana 22;Carrera 11 # 9 - 1;Santa Fé;Santa Ines;Lunes - Domingo 8:00 AM a 6:00 PM;ropa, calzado.;140;http://www.ipes.gov.co;459.874.114;-7.407.998.474;"{\type\"":\""Point\""";"\""coordinates\"":[-74.08001329447593";"4.598803008703775]}"""
Caseta Feria Popular Rotonda Santafé;Carrera 7 # 26-88;Santa Fé;San Diego;Lunes - Domingo 8:00 AM a 8:00 PM;artesanías;22;http://www.ipes.gov.co;461.334.093;-7.406.930.876;"{\type\"":\""Point\""";"\""coordinates\"":[-74.06933731139759";"4.613402796980306]}"""
Galerías calle 53;Avenida Calle 53 # 19-19;Teusaquillo;Banco Central;Lunes - Sábado 11:00 AM a 6:00 PM;artesanías;16;http://www.ipes.gov.co;464.106.181;-7.407.103.282;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07106137426054";"4.64112367293173]}"""
Galerías Plaza Centro Cultural y Comercial;Carrera 27 # 52-39;Teusaquillo;Galerias;Martes - Sábado 4:00 PM a 2:00 AM;licores, comestibles;30;http://www.ipes.gov.co;464.155.466;-7.407.620.712;"{\type\"":\""Point\""";"\""coordinates\"":[-74.0762356774836";"4.641616524568158]}"""
Punto Comercial Bode Ganga Usme;Avenida carrera 1 # 73 D - 36 Sur;Usme;El Refugio Sector Santa Librada;Lunes - Domingo 8:00 AM a 6:30 PM;ropa, calzado, cachivaches, arreglo de electrodomésticos.;62;http://www.ipes.gov.co;4.624.993;-74.144.482;"{\type\"":\""Point\""";"\""coordinates\"":[-74.14451055321148";"4.625054865727026]}"""
